Name,Roll No,CGPA,DSA Topics Covered,Fundamental Topics Covered,Languages,Internship Experience,Projects Undertaken,Soft Skills,Placement Likelihood
Student36,Roll36,9.233589392465845,"String Algorithms, Recursion, Hashing, Searching Algorithms, Linked List, Backtracking, Graph Algorithms, Array","Graph Theory, Linear Algebra, Statistics, Number Theory","Python, Rust, C++",1,1,5,63
Student37,Roll37,7.218455076693482,"Linked List, Array, Greedy Algorithms, Stacks and Queues","Linear Algebra, Algorithms","Kotlin, Go, JavaScript, Java, Ruby",1,0,2,21
Student38,Roll38,6.3906884560255355,"Stacks and Queues, Bit Manipulation","Data Structures, Calculus, Probability, Complexity Analysis, Mathematics, Algorithms, Discrete Mathematics",Kotlin,1,2,2,27
Student39,Roll39,8.736932106048627,"Linked List, Bit Manipulation, Recursion, Graph Algorithms, Backtracking, Sorting Algorithms, Dynamic Programming","Probability, Number Theory, Graph Theory, Discrete Mathematics, Set Theory, Logic, Mathematics","Rust, Swift, Python, C#",1,4,6,44
Student40,Roll40,7.760609974958405,"Linked List, Searching Algorithms, String Algorithms, Hashing, Divide and Conquer, Recursion, Bit Manipulation, Dynamic Programming, Backtracking, Greedy Algorithms, Array, Stacks and Queues","Data Structures, Linear Algebra, Probability, Set Theory","Ruby, Rust, C#, Go",0,4,6,100
Student41,Roll41,6.488152939379115,"Hashing, String Algorithms, Sorting Algorithms, Recursion, Linked List, Divide and Conquer, Graph Algorithms, Greedy Algorithms, Dynamic Programming, Tree Algorithms","Calculus, Differential Equations, Complexity Analysis, Discrete Mathematics, Logic, Linear Algebra, Mathematics, Numerical Analysis, Data Structures, Algorithms, Graph Theory, Statistics, Set Theory",TypeScript,1,4,6,71
Student42,Roll42,7.980707640445081,"Recursion, Sorting Algorithms, Divide and Conquer, Graph Algorithms, Hashing, String Algorithms, Dynamic Programming, Greedy Algorithms, Backtracking, Array, Bit Manipulation, Stacks and Queues","Discrete Mathematics, Algorithms, Number Theory, Graph Theory, Data Structures, Probability, Logic, Mathematics, Differential Equations, Complexity Analysis, Set Theory, Calculus, Linear Algebra, Numerical Analysis, Statistics","C#, Go",0,3,1,95
Student43,Roll43,6.137554084460874,"Divide and Conquer, Linked List","Data Structures, Discrete Mathematics, Logic, Set Theory, Graph Theory, Probability, Statistics, Calculus, Number Theory, Mathematics","C++, Ruby, Go, Java, Swift",0,1,1,100
Student44,Roll44,9.637281608315128,Hashing,"Logic, Numerical Analysis, Set Theory, Number Theory, Differential Equations, Algorithms, Complexity Analysis",Python,1,1,4,46
Student45,Roll45,7.035119926400068,"Array, Graph Algorithms, Bit Manipulation, Recursion, Searching Algorithms, Tree Algorithms, Backtracking, Stacks and Queues, Dynamic Programming","Data Structures, Graph Theory, Mathematics, Statistics","Swift, JavaScript, Kotlin, Python",1,1,3,87
Student46,Roll46,8.650089137415929,"Backtracking, Dynamic Programming, Graph Algorithms, Linked List, Stacks and Queues, Searching Algorithms, Hashing, Bit Manipulation, Recursion, Divide and Conquer, Array, Tree Algorithms","Algorithms, Numerical Analysis, Logic, Differential Equations, Data Structures, Graph Theory, Mathematics, Calculus","C++, Rust, Ruby, Go, PHP",1,3,6,100
Student47,Roll47,7.246844304357644,"Tree Algorithms, Bit Manipulation, Searching Algorithms, Hashing, Graph Algorithms, Dynamic Programming, Divide and Conquer, String Algorithms, Greedy Algorithms, Recursion","Calculus, Probability, Statistics, Set Theory, Algorithms, Numerical Analysis, Complexity Analysis","TypeScript, C#",1,2,2,93
Student48,Roll48,8.080272084711243,"Stacks and Queues, Greedy Algorithms, Dynamic Programming, Linked List","Discrete Mathematics, Linear Algebra, Number Theory, Logic, Set Theory, Complexity Analysis, Differential Equations, Data Structures, Algorithms, Calculus, Mathematics, Graph Theory, Numerical Analysis, Probability, Statistics",C#,0,0,4,82
Student49,Roll49,8.186841117373119,"Array, Greedy Algorithms, Graph Algorithms, Bit Manipulation, Backtracking, String Algorithms, Hashing, Recursion, Sorting Algorithms, Dynamic Programming, Linked List, Divide and Conquer, Stacks and Queues","Logic, Linear Algebra, Mathematics, Data Structures, Discrete Mathematics, Calculus, Set Theory, Algorithms, Statistics","TypeScript, C++, Rust",0,1,1,100
Student50,Roll50,6.739417822102109,"Dynamic Programming, Divide and Conquer","Linear Algebra, Number Theory, Numerical Analysis, Probability, Logic","Swift, Go, Rust, Kotlin, PHP",1,2,0,79
Student51,Roll51,9.878338511058235,"Hashing, Divide and Conquer, Recursion, Sorting Algorithms, Dynamic Programming, Stacks and Queues, Linked List, Greedy Algorithms, Backtracking, Array","Set Theory, Probability, Mathematics, Algorithms, Data Structures, Number Theory, Graph Theory, Logic, Statistics, Differential Equations, Complexity Analysis, Numerical Analysis","JavaScript, TypeScript, Kotlin, Rust, Java",0,4,8,61
Student52,Roll52,9.100531293444458,"Stacks and Queues, String Algorithms, Linked List","Numerical Analysis, Complexity Analysis, Mathematics, Set Theory, Graph Theory, Probability, Statistics, Differential Equations, Algorithms","C++, Kotlin, Ruby",1,0,3,74
Student53,Roll53,9.757995766256757,"Backtracking, Greedy Algorithms, Array, Divide and Conquer, Graph Algorithms, Linked List, Stacks and Queues, Searching Algorithms, Hashing","Mathematics, Probability, Discrete Mathematics, Set Theory, Numerical Analysis, Linear Algebra, Calculus, Statistics, Algorithms, Number Theory","Rust, Swift, Ruby, C++, TypeScript",1,4,7,100
Student54,Roll54,9.579309401710596,"Array, Greedy Algorithms, Divide and Conquer, Sorting Algorithms, Hashing, Stacks and Queues, Backtracking","Logic, Linear Algebra, Probability, Complexity Analysis, Data Structures, Mathematics, Calculus, Discrete Mathematics, Graph Theory, Statistics, Numerical Analysis, Set Theory, Differential Equations, Algorithms, Number Theory","C#, Swift, C++",1,2,6,81
Student55,Roll55,8.39159991524434,"Hashing, Backtracking, Array, Divide and Conquer, String Algorithms, Bit Manipulation, Sorting Algorithms, Searching Algorithms, Greedy Algorithms, Graph Algorithms, Linked List, Recursion, Tree Algorithms, Dynamic Programming","Graph Theory, Calculus, Set Theory, Logic, Number Theory, Discrete Mathematics, Data Structures, Numerical Analysis, Statistics, Linear Algebra, Complexity Analysis, Differential Equations","C++, PHP, TypeScript, Ruby, Rust",0,2,0,100
Student56,Roll56,9.687496940092467,"Graph Algorithms, Greedy Algorithms, Dynamic Programming, Hashing","Data Structures, Probability, Numerical Analysis","Ruby, Rust, JavaScript, Python, PHP",0,4,9,100
Student57,Roll57,6.353970008207678,"Graph Algorithms, Recursion, Sorting Algorithms, Divide and Conquer, Dynamic Programming, Stacks and Queues",Data Structures,C#,0,0,6,98
Student58,Roll58,6.783931449676581,"Dynamic Programming, Tree Algorithms, Hashing, String Algorithms, Graph Algorithms, Sorting Algorithms, Array, Bit Manipulation, Linked List, Recursion, Stacks and Queues, Searching Algorithms, Divide and Conquer, Greedy Algorithms, Backtracking","Calculus, Statistics, Data Structures, Number Theory","C++, Java, Swift, Rust, Python",1,4,1,88
Student59,Roll59,6.180909155642152,"Tree Algorithms, Greedy Algorithms, Linked List","Algorithms, Linear Algebra, Graph Theory, Numerical Analysis, Discrete Mathematics, Statistics, Differential Equations, Calculus, Logic, Set Theory, Number Theory","JavaScript, C#",0,4,2,71
Student60,Roll60,7.301321323053058,"Backtracking, Recursion, Divide and Conquer","Calculus, Graph Theory, Set Theory, Probability, Algorithms, Complexity Analysis, Logic, Data Structures, Discrete Mathematics, Statistics, Differential Equations, Numerical Analysis","TypeScript, Swift",1,4,0,40
Student61,Roll61,7.5547091587579285,"Greedy Algorithms, Array, Dynamic Programming, Hashing, Linked List, Backtracking, Tree Algorithms, String Algorithms, Graph Algorithms","Data Structures, Differential Equations, Linear Algebra, Set Theory, Numerical Analysis, Number Theory","Ruby, C++",1,0,6,51
Student62,Roll62,7.085396127095583,"Divide and Conquer, Backtracking, Recursion, Bit Manipulation, Tree Algorithms, Stacks and Queues, Hashing","Set Theory, Linear Algebra, Mathematics, Complexity Analysis, Logic, Algorithms, Calculus, Statistics","JavaScript, Swift, Java, C#",0,3,2,30
Student63,Roll63,9.314950036607717,"Backtracking, Divide and Conquer, Sorting Algorithms, Stacks and Queues","Linear Algebra, Probability, Data Structures, Discrete Mathematics, Differential Equations, Calculus, Numerical Analysis, Logic, Mathematics, Algorithms, Statistics, Complexity Analysis, Number Theory, Set Theory, Graph Theory","Go, Swift, Python, C#, Java",1,0,5,100
Student64,Roll64,7.427013306774358,"Array, String Algorithms, Backtracking, Searching Algorithms, Stacks and Queues","Calculus, Algorithms, Statistics, Number Theory, Differential Equations, Linear Algebra, Set Theory, Discrete Mathematics, Logic, Probability, Mathematics, Graph Theory, Numerical Analysis",Python,1,4,6,100
Student65,Roll65,7.123738038749523,"Backtracking, Searching Algorithms, Greedy Algorithms, Tree Algorithms, Dynamic Programming, Linked List","Set Theory, Algorithms, Discrete Mathematics, Differential Equations, Calculus, Mathematics, Statistics, Number Theory, Complexity Analysis, Numerical Analysis, Linear Algebra, Graph Theory, Logic, Data Structures, Probability","PHP, Python, Rust, Swift, Go",1,1,2,89
Student66,Roll66,8.170784332632994,"Hashing, Sorting Algorithms, Graph Algorithms, Recursion, Greedy Algorithms, Array, Divide and Conquer, Linked List, Bit Manipulation, Backtracking","Calculus, Data Structures, Statistics",Swift,1,1,1,53
Student67,Roll67,6.563696899899051,"Divide and Conquer, Recursion, Searching Algorithms, Sorting Algorithms, Backtracking, Array, Linked List, Dynamic Programming, Tree Algorithms, Hashing, Greedy Algorithms, Graph Algorithms, Bit Manipulation, String Algorithms","Graph Theory, Algorithms, Set Theory, Mathematics, Statistics, Numerical Analysis, Discrete Mathematics, Calculus, Data Structures, Logic",PHP,0,2,8,72
Student68,Roll68,9.208787923016159,"Searching Algorithms, Bit Manipulation, Graph Algorithms, Linked List, Stacks and Queues, Backtracking","Logic, Graph Theory, Probability, Calculus, Mathematics, Statistics, Set Theory, Differential Equations","Swift, C#, Go, JavaScript",1,3,8,100
Student69,Roll69,6.298202574719083,"Greedy Algorithms, Stacks and Queues, Hashing, Bit Manipulation, Dynamic Programming, String Algorithms, Graph Algorithms, Array, Backtracking, Recursion, Linked List, Divide and Conquer, Tree Algorithms","Differential Equations, Set Theory, Statistics, Data Structures, Mathematics, Logic, Calculus, Graph Theory, Probability, Algorithms, Complexity Analysis, Numerical Analysis, Number Theory, Discrete Mathematics, Linear Algebra","C++, Swift, Go, Java",1,2,6,65
Student70,Roll70,9.94754774640207,"Searching Algorithms, Bit Manipulation, Backtracking, Recursion","Set Theory, Number Theory, Calculus, Linear Algebra, Statistics","Java, Go, C++, Python",1,2,4,33
Student71,Roll71,9.088979077186629,"Stacks and Queues, Searching Algorithms, Sorting Algorithms, Bit Manipulation, Tree Algorithms, Array, Linked List, Dynamic Programming, String Algorithms, Divide and Conquer, Hashing, Backtracking, Greedy Algorithms","Calculus, Discrete Mathematics, Complexity Analysis, Algorithms, Logic, Number Theory, Differential Equations, Set Theory, Mathematics, Numerical Analysis, Linear Algebra, Data Structures, Statistics",TypeScript,0,1,3,100
Student72,Roll72,6.79486272613669,"String Algorithms, Linked List","Algorithms, Logic, Complexity Analysis","Rust, Python, PHP",1,0,3,67
Student73,Roll73,6.02208846849441,Backtracking,"Discrete Mathematics, Complexity Analysis, Linear Algebra, Algorithms, Statistics","Python, Kotlin, Swift",1,2,0,84
Student74,Roll74,9.261845713819337,"String Algorithms, Array, Divide and Conquer, Linked List",Data Structures,"Python, Ruby",0,2,3,85
Student75,Roll75,8.82742937539047,"Greedy Algorithms, Array, Dynamic Programming, String Algorithms, Recursion, Linked List, Stacks and Queues, Hashing, Bit Manipulation, Searching Algorithms, Backtracking, Sorting Algorithms, Divide and Conquer, Tree Algorithms, Graph Algorithms","Data Structures, Complexity Analysis, Number Theory, Probability, Set Theory, Logic, Algorithms","C++, JavaScript, Python, PHP",1,3,6,94
Student76,Roll76,8.91602867216395,"Hashing, Sorting Algorithms, Backtracking, Bit Manipulation, Linked List, Array, Dynamic Programming","Discrete Mathematics, Number Theory, Data Structures, Differential Equations, Mathematics, Linear Algebra","Swift, C++, JavaScript",0,1,4,100
Student77,Roll77,9.085081386743783,Array,"Differential Equations, Mathematics",Go,1,0,8,93
Student78,Roll78,6.296178606936362,"Dynamic Programming, Array, Divide and Conquer, Backtracking, Sorting Algorithms, Greedy Algorithms, Stacks and Queues, Searching Algorithms, Tree Algorithms, Recursion, Hashing, Bit Manipulation, Linked List","Calculus, Probability, Graph Theory, Linear Algebra","C#, Python, Kotlin, PHP",0,3,3,93
Student79,Roll79,7.433862914177091,"Graph Algorithms, Searching Algorithms, Dynamic Programming, Sorting Algorithms, Divide and Conquer, Linked List","Discrete Mathematics, Calculus, Differential Equations, Linear Algebra, Numerical Analysis, Number Theory, Graph Theory, Complexity Analysis","Python, PHP, Kotlin",1,0,2,100
Student80,Roll80,6.463476238100519,"Recursion, Searching Algorithms, String Algorithms, Hashing, Greedy Algorithms","Complexity Analysis, Differential Equations","C++, TypeScript, Java, C#, Rust",0,0,5,67
Student81,Roll81,9.452413703502375,"Searching Algorithms, Backtracking, Hashing, Linked List, String Algorithms, Bit Manipulation, Tree Algorithms, Array, Graph Algorithms, Greedy Algorithms","Number Theory, Probability, Linear Algebra, Numerical Analysis, Graph Theory, Differential Equations, Logic, Set Theory, Algorithms, Statistics, Calculus, Complexity Analysis, Data Structures, Mathematics","Go, Python",0,2,3,100
Student82,Roll82,8.493192507310232,"Hashing, Graph Algorithms, String Algorithms, Linked List, Tree Algorithms, Dynamic Programming, Sorting Algorithms, Bit Manipulation, Backtracking, Divide and Conquer","Number Theory, Calculus, Differential Equations, Algorithms, Numerical Analysis, Graph Theory, Set Theory, Data Structures, Mathematics, Complexity Analysis","Rust, C#, Java, PHP, Python",1,3,1,51
Student83,Roll83,7.323592099410597,"Dynamic Programming, Searching Algorithms, Stacks and Queues, Backtracking, Array, Hashing, Graph Algorithms, Recursion, Sorting Algorithms, String Algorithms","Algorithms, Statistics, Numerical Analysis, Differential Equations, Logic, Graph Theory, Linear Algebra, Set Theory, Mathematics, Complexity Analysis, Calculus, Probability, Data Structures","Python, JavaScript, Rust",1,2,4,93
Student84,Roll84,6.254233401144095,"Sorting Algorithms, Backtracking, Dynamic Programming, Hashing, Recursion, Linked List, Searching Algorithms","Linear Algebra, Set Theory, Number Theory, Statistics, Data Structures, Logic, Calculus, Mathematics","Ruby, Rust, Go, TypeScript, C++",0,4,3,100
Student85,Roll85,7.243929286862649,"Searching Algorithms, Stacks and Queues, Backtracking, Divide and Conquer, Linked List, Hashing, String Algorithms, Sorting Algorithms",Set Theory,"Go, C++, Python, Kotlin",1,0,4,66
Student86,Roll86,7.300733288106988,"Searching Algorithms, String Algorithms, Stacks and Queues, Array, Dynamic Programming, Sorting Algorithms, Greedy Algorithms","Numerical Analysis, Number Theory, Set Theory","Rust, Swift",1,3,8,56
Student87,Roll87,8.918424713352255,"Linked List, Bit Manipulation, String Algorithms, Tree Algorithms, Backtracking, Greedy Algorithms, Recursion, Hashing","Probability, Data Structures, Logic, Graph Theory, Discrete Mathematics, Numerical Analysis, Statistics, Linear Algebra","C#, Go, Ruby, JavaScript, TypeScript",0,1,3,93
Student88,Roll88,8.550229885420853,"Array, Stacks and Queues, Graph Algorithms, Searching Algorithms, Linked List, String Algorithms, Bit Manipulation","Differential Equations, Discrete Mathematics, Number Theory, Statistics","Swift, C++, JavaScript, Go, PHP",0,2,5,60
Student89,Roll89,9.548850970305306,"Bit Manipulation, Backtracking, Tree Algorithms, Divide and Conquer, Stacks and Queues, Dynamic Programming, Hashing, Graph Algorithms, Recursion, Linked List, Searching Algorithms, String Algorithms, Sorting Algorithms, Greedy Algorithms, Array","Mathematics, Algorithms, Statistics, Numerical Analysis, Linear Algebra, Data Structures, Logic, Discrete Mathematics, Probability, Complexity Analysis","Go, TypeScript, C++, Python, Swift",1,4,3,86
Student90,Roll90,7.888859700647798,"Hashing, String Algorithms, Searching Algorithms, Divide and Conquer","Logic, Complexity Analysis, Differential Equations, Discrete Mathematics, Data Structures, Algorithms, Calculus, Numerical Analysis, Linear Algebra, Number Theory, Probability",Swift,1,4,0,61
Student91,Roll91,6.478376983753207,"Linked List, Recursion","Numerical Analysis, Mathematics, Statistics, Differential Equations, Set Theory, Discrete Mathematics","C++, Ruby, Rust, C#",1,4,1,75
